modelKey,model,scenario,arm,ok,errored,turns,toolCalls,toolErrors,mcpRoundTrips,servicesTouched,tokensIn,tokensOut,peakContextTokens,compactions,toolsInContext,wallMs,costUsd
"deepseek","deepseek/deepseek-v3.2","incident-branch","baseline",true,false,3,2,0,2,2,9357,296,3596,0,32,15814,0.002244
"deepseek","deepseek/deepseek-v3.2","incident-branch","scratchpad",true,false,3,2,0,2,2,6433,292,2372,0,2,12418,0.001573
"deepseek","deepseek/deepseek-v3.2","incident-branch","lisp",true,false,4,3,0,2,2,10891,557,3138,0,2,25634,0.002685
"deepseek","deepseek/deepseek-v3.2","open-prs-breakdown","baseline",false,false,2,1,0,1,1,9636,396,6650,0,32,15594,0.002342
"deepseek","deepseek/deepseek-v3.2","open-prs-breakdown","scratchpad",true,false,5,4,1,2,1,11802,662,2844,0,2,30787,0.002930
"deepseek","deepseek/deepseek-v3.2","open-prs-breakdown","lisp",true,false,4,3,0,1,1,9932,406,2783,0,2,19471,0.002414
"glm","z-ai/glm-4.7-flash","incident-branch","baseline",true,false,3,2,0,2,2,9847,470,3491,0,32,12678,0.000779
"glm","z-ai/glm-4.7-flash","incident-branch","scratchpad",true,false,3,2,0,2,2,5669,781,2054,0,2,19162,0.000653
"glm","z-ai/glm-4.7-flash","incident-branch","lisp",true,false,7,6,2,3,3,16801,919,2718,0,2,27426,0.001376
"glm","z-ai/glm-4.7-flash","open-prs-breakdown","baseline",false,false,2,1,0,1,1,9541,412,6552,0,32,9155,0.000737
"glm","z-ai/glm-4.7-flash","open-prs-breakdown","scratchpad",true,false,4,3,0,2,1,7447,290,2025,0,2,8570,0.000563
"glm","z-ai/glm-4.7-flash","open-prs-breakdown","lisp",true,false,7,6,3,3,1,16514,925,2617,0,2,35784,0.001361
"xiaomi","xiaomi/mimo-v2.5","incident-branch","baseline",true,false,3,2,0,2,2,12428,382,4321,0,32,9521,0.001412
"xiaomi","xiaomi/mimo-v2.5","incident-branch","scratchpad",true,false,3,2,0,2,2,6065,365,2213,0,2,7144,0.000739
"xiaomi","xiaomi/mimo-v2.5","incident-branch","lisp",false,false,3,2,1,4,2,7363,624,2735,0,2,11021,0.000948
"xiaomi","xiaomi/mimo-v2.5","open-prs-breakdown","baseline",true,false,2,1,0,1,1,11833,532,7993,0,32,8916,0.001391
"xiaomi","xiaomi/mimo-v2.5","open-prs-breakdown","scratchpad",true,false,4,3,1,2,1,8036,301,2269,0,2,9363,0.000928
"xiaomi","xiaomi/mimo-v2.5","open-prs-breakdown","lisp",true,false,4,3,1,2,1,9746,570,2722,0,2,9983,0.001183
"minimax","minimax/minimax-m2.5","incident-branch","baseline",true,false,3,2,0,2,2,9974,480,3494,0,32,26906,0.001427
"minimax","minimax/minimax-m2.5","incident-branch","scratchpad",true,false,3,2,0,2,2,5565,474,1997,0,2,7010,0.000895
"minimax","minimax/minimax-m2.5","incident-branch","lisp",true,false,3,2,0,2,2,6778,536,2419,0,2,7206,0.001071
"minimax","minimax/minimax-m2.5","open-prs-breakdown","baseline",true,false,3,2,0,2,2,21194,1037,10844,0,32,25395,0.003041
"minimax","minimax/minimax-m2.5","open-prs-breakdown","scratchpad",true,false,3,2,0,1,1,5562,305,2031,0,2,6741,0.000814
"minimax","minimax/minimax-m2.5","open-prs-breakdown","lisp",true,false,4,3,1,2,1,9338,445,2641,0,2,7306,0.001334
"kimi","moonshotai/kimi-k2.5","incident-branch","baseline",true,false,3,2,0,2,2,4655,400,1705,0,32,15648,0.002556
"kimi","moonshotai/kimi-k2.5","incident-branch","scratchpad",true,false,3,2,0,2,2,5007,392,1819,0,2,16773,0.002671
"kimi","moonshotai/kimi-k2.5","incident-branch","lisp",true,false,3,2,0,2,2,6145,434,2215,0,2,20266,0.003183
"kimi","moonshotai/kimi-k2.5","open-prs-breakdown","baseline",true,false,2,1,0,1,1,6021,583,4737,0,32,25576,0.003438
"kimi","moonshotai/kimi-k2.5","open-prs-breakdown","scratchpad",true,false,3,2,0,1,1,4934,429,1832,0,2,19849,0.002719
"kimi","moonshotai/kimi-k2.5","open-prs-breakdown","lisp",true,false,4,3,0,1,1,8742,555,2443,0,2,20727,0.004402
"kimi27","moonshotai/kimi-k2.7-code","incident-branch","baseline",true,false,3,2,0,2,2,4655,368,1705,0,32,11118,0.004733
"kimi27","moonshotai/kimi-k2.7-code","incident-branch","scratchpad",true,false,3,2,0,2,2,4919,327,1775,0,2,10660,0.004785
"kimi27","moonshotai/kimi-k2.7-code","incident-branch","lisp",true,false,3,2,0,2,2,8174,639,3273,0,2,12035,0.008285
"kimi27","moonshotai/kimi-k2.7-code","open-prs-breakdown","baseline",true,false,2,1,0,1,1,6021,420,4737,0,32,11503,0.005926
"kimi27","moonshotai/kimi-k2.7-code","open-prs-breakdown","scratchpad",true,false,4,3,0,2,1,6868,520,1933,0,2,16471,0.006902
"kimi27","moonshotai/kimi-k2.7-code","open-prs-breakdown","lisp",true,false,3,2,0,1,1,6199,299,2259,0,2,9940,0.005634
"glm5","z-ai/glm-5","incident-branch","baseline",true,false,3,2,0,2,2,9723,396,3380,0,32,23450,0.006594
"glm5","z-ai/glm-5","incident-branch","scratchpad",true,false,3,2,0,2,2,5539,462,1972,0,2,10210,0.004210
"glm5","z-ai/glm-5","incident-branch","lisp",true,false,2,1,0,2,2,4413,411,2338,0,2,7478,0.003437
"glm5","z-ai/glm-5","open-prs-breakdown","baseline",false,false,2,1,0,1,1,9657,752,6668,0,32,12867,0.007238
"glm5","z-ai/glm-5","open-prs-breakdown","scratchpad",true,false,3,2,0,1,1,5559,427,2028,0,2,21423,0.004155
"glm5","z-ai/glm-5","open-prs-breakdown","lisp",true,false,4,3,1,1,1,8538,387,2228,0,2,15599,0.005866
"minimax3","minimax/minimax-m3","incident-branch","baseline",true,false,3,2,0,2,2,10107,314,3543,0,32,9908,0.003409
"minimax3","minimax/minimax-m3","incident-branch","scratchpad",true,false,5,4,2,3,2,10946,477,2442,0,2,13535,0.003856
"minimax3","minimax/minimax-m3","incident-branch","lisp",true,false,2,1,0,2,2,4971,336,2653,0,2,6458,0.001894
"minimax3","minimax/minimax-m3","open-prs-breakdown","baseline",true,false,2,1,0,1,1,9716,580,6630,0,32,9272,0.003611
"minimax3","minimax/minimax-m3","open-prs-breakdown","scratchpad",true,false,3,3,0,2,1,6327,389,2343,0,2,6631,0.002365
"minimax3","minimax/minimax-m3","open-prs-breakdown","lisp",true,false,6,5,2,1,1,21133,619,4290,0,2,14825,0.007083
"dsflash","deepseek/deepseek-v4-flash","incident-branch","baseline",true,false,3,2,0,2,2,9816,445,3473,0,32,11365,0.000964
"dsflash","deepseek/deepseek-v4-flash","incident-branch","scratchpad",true,false,4,6,0,2,2,10083,688,2933,0,2,15908,0.001031
"dsflash","deepseek/deepseek-v4-flash","incident-branch","lisp",true,false,3,2,0,3,2,7699,397,2868,0,2,9416,0.000764
"dsflash","deepseek/deepseek-v4-flash","open-prs-breakdown","baseline",true,false,2,1,0,1,1,9581,818,6620,0,32,11331,0.001010
"dsflash","deepseek/deepseek-v4-flash","open-prs-breakdown","scratchpad",true,false,3,2,0,1,1,6188,352,2268,0,2,10320,0.000620
"dsflash","deepseek/deepseek-v4-flash","open-prs-breakdown","lisp",true,false,4,3,0,1,1,10073,472,2754,0,2,12072,0.000992
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-branch","baseline",false,false,2,1,0,1,1,6446,83,3381,0,32,3785,0.000338
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-branch","scratchpad",false,false,4,3,0,2,1,7533,185,2072,0,2,3615,0.000412
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-branch","lisp",true,false,3,2,1,2,2,7008,457,2630,0,2,6591,0.000437
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","open-prs-breakdown","baseline",false,false,2,1,0,1,1,10174,62,7162,0,32,1604,0.000520
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","open-prs-breakdown","scratchpad",true,false,5,4,1,3,1,9444,212,2156,0,2,3918,0.000512
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","open-prs-breakdown","lisp",false,false,19,18,16,10,1,58525,1702,4235,0,2,25801,0.003250
"qwen8b","qwen/qwen3-8b","incident-branch","baseline",false,true,0,0,0,0,0,0,0,0,0,32,5729,0.000000
"qwen8b","qwen/qwen3-8b","incident-branch","scratchpad",false,true,3,3,0,3,2,5504,2262,1969,0,2,41574,0.001678
