modelKey,model,scenario,arm,ok,errored,turns,toolCalls,toolErrors,mcpRoundTrips,servicesTouched,tokensIn,tokensOut,peakContextTokens,compactions,toolsInContext,wallMs,costUsd
"deepseek","deepseek/deepseek-v3.2","count-open-prs","both",true,false,2,1,0,1,1,4171,58,2264,0,4,7815,0.000975
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","both",true,false,3,2,0,2,1,6962,243,2612,0,4,13680,0.001678
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","both",true,false,6,5,0,4,2,17124,905,3740,0,4,41750,0.004232
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","both",true,false,2,1,0,1,1,4452,148,2326,0,4,7821,0.001070
"deepseek","deepseek/deepseek-v3.2","high-urgency-triggered","both",true,false,2,1,0,1,1,4272,110,2362,0,4,8410,0.001016
"deepseek","deepseek/deepseek-v3.2","email-top-error","both",true,false,6,5,1,4,2,16085,731,3190,0,4,33874,0.003934
"deepseek","deepseek/deepseek-v3.2","compose-verify-issues","both",true,false,6,5,1,20,1,17536,685,3659,0,4,34232,0.004251
"deepseek","deepseek/deepseek-v3.2","incident-branch","both",true,false,3,2,0,2,2,7059,278,2656,0,4,16406,0.001712
"deepseek","deepseek/deepseek-v3.2","open-prs-breakdown","both",true,false,10,9,6,6,1,29941,1055,3823,0,4,32587,0.007218
"glm","z-ai/glm-4.7-flash","count-open-prs","both",true,false,2,1,0,1,1,3877,203,1978,0,4,56594,0.000314
"glm","z-ai/glm-4.7-flash","sentry-billing-unresolved","both",true,false,2,1,0,1,1,3976,548,2074,0,4,19201,0.000458
"glm","z-ai/glm-4.7-flash","merged-prs-open-linear","both",true,false,5,4,0,4,2,11493,1563,2692,0,4,20956,0.001315
"glm","z-ai/glm-4.7-flash","busiest-assignee","both",true,false,3,2,0,1,1,6238,783,2216,0,4,8840,0.000687
"glm","z-ai/glm-4.7-flash","high-urgency-triggered","both",true,false,2,1,0,1,1,3975,291,2069,0,4,4252,0.000355
"glm","z-ai/glm-4.7-flash","email-top-error","both",true,false,3,2,0,2,2,6135,392,2161,0,4,6251,0.000525
"glm","z-ai/glm-4.7-flash","compose-verify-issues","both",true,false,4,3,2,18,1,8904,1039,2596,0,4,14736,0.000950
"glm","z-ai/glm-4.7-flash","incident-branch","both",false,false,3,2,1,1,1,6498,1017,2313,0,4,12527,0.000797
"glm","z-ai/glm-4.7-flash","open-prs-breakdown","both",false,false,3,2,0,1,1,6283,402,2255,0,4,6131,0.000538
"xiaomi","xiaomi/mimo-v2.5","count-open-prs","both",true,false,2,1,0,1,1,4262,171,2181,0,4,8769,0.000495
"xiaomi","xiaomi/mimo-v2.5","sentry-billing-unresolved","both",true,false,2,1,0,1,1,4343,194,2259,0,4,5346,0.000510
"xiaomi","xiaomi/mimo-v2.5","merged-prs-open-linear","both",true,false,4,3,0,4,2,10505,926,3261,0,4,17067,0.001362
"xiaomi","xiaomi/mimo-v2.5","busiest-assignee","both",true,false,3,2,0,1,1,6760,214,2398,0,4,6391,0.000770
"xiaomi","xiaomi/mimo-v2.5","high-urgency-triggered","both",true,false,2,1,0,1,1,4318,162,2230,0,4,4967,0.000499
"xiaomi","xiaomi/mimo-v2.5","email-top-error","both",true,false,3,2,0,2,2,6777,532,2417,0,4,10205,0.000861
"xiaomi","xiaomi/mimo-v2.5","compose-verify-issues","both",true,false,5,5,0,17,1,12301,606,2829,0,4,14872,0.001461
"xiaomi","xiaomi/mimo-v2.5","incident-branch","both",true,false,3,2,0,2,2,6936,317,2482,0,4,8441,0.000817
"xiaomi","xiaomi/mimo-v2.5","open-prs-breakdown","both",true,false,4,3,0,2,1,9781,702,2732,0,4,13146,0.001224
"minimax","minimax/minimax-m2.5","count-open-prs","both",true,false,2,1,0,1,1,3909,120,2006,0,4,11542,0.000527
"minimax","minimax/minimax-m2.5","sentry-billing-unresolved","both",true,false,2,1,0,1,1,3978,190,2072,0,4,2553,0.000569
"minimax","minimax/minimax-m2.5","merged-prs-open-linear","both",true,false,2,1,0,2,2,4200,360,2285,0,4,3745,0.000677
"minimax","minimax/minimax-m2.5","busiest-assignee","both",true,false,2,1,0,1,1,3950,173,2037,0,4,2249,0.000557
"minimax","minimax/minimax-m2.5","high-urgency-triggered","both",true,false,2,1,0,1,1,3956,219,2046,0,4,2707,0.000580
"minimax","minimax/minimax-m2.5","email-top-error","both",true,false,3,2,0,2,2,6395,538,2304,0,4,5308,0.001026
