modelKey,model,scenario,arm,ok,errored,turns,toolCalls,toolErrors,mcpRoundTrips,servicesTouched,tokensIn,tokensOut,peakContextTokens,compactions,toolsInContext,wallMs,costUsd
"deepseek","deepseek/deepseek-v3.2","count-open-prs","lisp",true,false,2,1,0,1,1,4080,81,2084,0,2,10338,0.000962
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","lisp",true,false,2,1,0,1,1,4258,247,2257,0,2,12862,0.001060
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","lisp",true,false,10,9,1,2,2,26307,1203,3486,0,2,67365,0.006437
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","lisp",true,false,21,20,10,1,1,72386,1734,4776,0,2,105773,0.017171
"deepseek","deepseek/deepseek-v3.2","high-urgency-triggered","lisp",true,false,2,1,0,1,1,3972,251,2003,0,2,9532,0.000996
"deepseek","deepseek/deepseek-v3.2","email-top-error","lisp",false,false,7,6,0,3,2,18986,731,3339,0,2,44381,0.004599
"deepseek","deepseek/deepseek-v3.2","compose-verify-issues","lisp",true,false,12,11,1,18,1,40235,1292,4582,0,2,66767,0.009657
"glm","z-ai/glm-4.7-flash","count-open-prs","lisp",true,false,2,1,0,1,1,3609,106,1820,0,2,15422,0.000259
"glm","z-ai/glm-4.7-flash","sentry-billing-unresolved","lisp",true,false,2,1,0,1,1,3685,804,1893,0,2,21934,0.000543
"glm","z-ai/glm-4.7-flash","merged-prs-open-linear","lisp",false,false,4,3,0,3,1,21604,485,7572,0,2,13926,0.001490
"glm","z-ai/glm-4.7-flash","busiest-assignee","lisp",false,false,3,2,0,1,1,6006,568,2179,0,2,29460,0.000588
"glm","z-ai/glm-4.7-flash","high-urgency-triggered","lisp",true,false,3,2,1,1,1,5676,346,1982,0,2,64794,0.000479
"glm","z-ai/glm-4.7-flash","email-top-error","lisp",false,false,10,9,4,8,2,24368,2057,3035,0,2,62584,0.002285
"glm","z-ai/glm-4.7-flash","compose-verify-issues","lisp",false,false,6,5,3,32,1,13859,946,3031,0,2,34905,0.001210
"xiaomi","xiaomi/mimo-v2.5","count-open-prs","lisp",true,false,2,1,0,1,1,3866,161,1959,0,2,6429,0.000451
"xiaomi","xiaomi/mimo-v2.5","sentry-billing-unresolved","lisp",true,false,3,2,0,1,1,6401,280,2326,0,2,7028,0.000751
"xiaomi","xiaomi/mimo-v2.5","merged-prs-open-linear","lisp",true,false,10,9,5,10,2,31919,1817,4368,0,2,30266,0.003860
"xiaomi","xiaomi/mimo-v2.5","busiest-assignee","lisp",true,false,7,6,3,4,1,18406,597,3034,0,2,14206,0.002100
"xiaomi","xiaomi/mimo-v2.5","high-urgency-triggered","lisp",true,false,2,1,0,1,1,4152,201,2238,0,2,3530,0.000492
"xiaomi","xiaomi/mimo-v2.5","email-top-error","lisp",false,false,2,1,0,2,2,4092,260,2160,0,2,4237,0.000502
"xiaomi","xiaomi/mimo-v2.5","compose-verify-issues","lisp",true,false,6,6,2,16,1,15325,772,3125,0,2,13455,0.001825
"minimax","minimax/minimax-m2.5","count-open-prs","lisp",true,false,2,1,0,1,1,3673,120,1864,0,2,2613,0.000498
"minimax","minimax/minimax-m2.5","sentry-billing-unresolved","lisp",true,false,3,2,1,2,1,7209,326,2754,0,2,4644,0.001022
"minimax","minimax/minimax-m2.5","merged-prs-open-linear","lisp",true,false,6,5,0,3,2,19769,843,4806,0,2,8356,0.002777
"minimax","minimax/minimax-m2.5","busiest-assignee","lisp",true,false,6,5,3,4,1,14046,906,2861,0,2,9475,0.002120
"minimax","minimax/minimax-m2.5","high-urgency-triggered","lisp",true,false,2,1,0,1,1,3767,266,1951,0,2,3088,0.000580
"minimax","minimax/minimax-m2.5","email-top-error","lisp",true,false,4,3,1,3,2,8729,737,2570,0,2,7728,0.001401
"minimax","minimax/minimax-m2.5","compose-verify-issues","lisp",false,false,11,10,1,28,1,42463,4613,7640,0,2,47728,0.007310
"kimi","moonshotai/kimi-k2.5","count-open-prs","lisp",true,false,2,1,0,1,1,3294,129,1673,0,2,9455,0.001496
"kimi","moonshotai/kimi-k2.5","sentry-billing-unresolved","lisp",true,false,2,1,0,1,1,3393,299,1770,0,2,16166,0.001878
"kimi","moonshotai/kimi-k2.5","merged-prs-open-linear","lisp",true,false,5,4,1,2,2,10413,949,2511,0,2,40754,0.005827
"kimi","moonshotai/kimi-k2.5","busiest-assignee","lisp",true,false,7,6,3,3,1,14650,719,2533,0,2,36842,0.006950
"kimi","moonshotai/kimi-k2.5","high-urgency-triggered","lisp",true,false,2,1,0,1,1,3369,234,1742,0,2,10442,0.001737
"kimi","moonshotai/kimi-k2.5","email-top-error","lisp",true,false,3,2,0,2,2,5190,602,1847,0,2,27662,0.003165
