modelKey,model,scenario,arm,ok,errored,turns,toolCalls,toolErrors,mcpRoundTrips,servicesTouched,tokensIn,tokensOut,peakContextTokens,compactions,toolsInContext,wallMs,costUsd
"deepseek","deepseek/deepseek-v3.2","count-open-prs","scratchpad",true,false,4,3,0,1,1,4595,280,1462,0,2,13587,0.001148
"deepseek","deepseek/deepseek-v3.2","count-open-prs","lisp",true,false,3,2,0,2,1,7109,151,3226,0,2,9618,0.001680
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","scratchpad",true,false,5,4,0,2,1,6720,538,1852,0,2,28396,0.001723
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","lisp",true,false,4,3,0,1,1,5576,437,1887,0,2,11677,0.001427
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","scratchpad",true,false,10,9,0,6,2,19057,1558,3571,0,2,70694,0.004898
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","lisp",true,false,6,5,0,2,2,11083,1000,2967,0,2,44153,0.002881
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","scratchpad",true,false,4,3,0,1,1,4744,393,1554,0,2,19296,0.001221
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","lisp",true,false,7,6,1,4,1,16945,789,3600,0,2,25727,0.004151
"deepseek","deepseek/deepseek-v3.2","high-urgency-triggered","scratchpad",true,false,10,9,1,5,1,17143,921,2619,0,2,47046,0.004242
"deepseek","deepseek/deepseek-v3.2","high-urgency-triggered","lisp",true,false,5,4,0,2,1,7665,452,2098,0,2,22225,0.001910
"deepseek","deepseek/deepseek-v3.2","email-top-error","scratchpad",false,false,12,11,1,5,2,24546,1633,3437,0,2,70438,0.006181
"deepseek","deepseek/deepseek-v3.2","email-top-error","lisp",true,false,9,8,0,4,2,33685,1059,5465,0,2,50820,0.008077
"deepseek","deepseek/deepseek-v3.2","compose-verify-issues","scratchpad",false,true,13,13,2,9,1,45221,3255,6404,0,2,180019,0.011472
"deepseek","deepseek/deepseek-v3.2","compose-verify-issues","lisp",false,true,25,24,4,23,1,94960,2669,6729,1,2,180006,0.022661
"glm","z-ai/glm-4.7-flash","count-open-prs","scratchpad",true,false,4,3,0,1,1,3585,307,1111,0,2,13008,0.000338
"glm","z-ai/glm-4.7-flash","count-open-prs","lisp",true,false,2,1,0,1,1,1211,135,621,0,2,4327,0.000127
