modelKey,model,scenario,arm,ok,errored,turns,toolCalls,toolErrors,mcpRoundTrips,servicesTouched,tokensIn,tokensOut,peakContextTokens,compactions,toolsInContext,wallMs,costUsd
"deepseek","deepseek/deepseek-v3.2","reconcile-ghost-issues","baseline",true,false,7,6,0,6,2,82930,3137,15970,0,32,127129,0.020067
"deepseek","deepseek/deepseek-v3.2","reconcile-ghost-issues","scratchpad",true,false,5,4,0,4,2,12304,688,3122,0,2,15684,0.003054
"deepseek","deepseek/deepseek-v3.2","reconcile-ghost-issues","lisp",true,false,16,15,0,3,2,61271,1756,5114,0,2,45966,0.014633
"deepseek","deepseek/deepseek-v3.2","reconcile-ghost-issues","both",true,false,18,17,0,23,2,90024,2943,7809,0,4,127107,0.021625
"deepseek","deepseek/deepseek-v3.2","repo-health-report","baseline",false,false,6,5,0,5,1,45122,1148,12619,0,32,35961,0.010727
"deepseek","deepseek/deepseek-v3.2","repo-health-report","scratchpad",false,false,3,2,0,1,1,6709,441,2671,0,2,19964,0.001688
"deepseek","deepseek/deepseek-v3.2","repo-health-report","lisp",true,false,6,5,0,1,1,17550,1071,3735,0,2,27912,0.004386
"deepseek","deepseek/deepseek-v3.2","repo-health-report","both",true,false,4,3,0,2,1,10563,564,3032,0,4,26137,0.002612
"deepseek","deepseek/deepseek-v3.2","escalate-hot-services","baseline",true,false,14,12,0,12,3,115407,1829,14103,1,32,119013,0.027056
"deepseek","deepseek/deepseek-v3.2","escalate-hot-services","scratchpad",true,false,16,15,1,11,3,58110,1664,5305,0,2,89378,0.013878
"deepseek","deepseek/deepseek-v3.2","escalate-hot-services","lisp",true,false,14,12,1,8,3,104147,2599,11495,1,2,77345,0.024741
"deepseek","deepseek/deepseek-v3.2","escalate-hot-services","both",true,false,9,8,1,11,3,29959,1284,4355,0,4,109870,0.007301
"glm","z-ai/glm-4.7-flash","reconcile-ghost-issues","baseline",false,false,3,14,0,14,1,12446,912,5359,0,32,25520,0.001112
"glm","z-ai/glm-4.7-flash","reconcile-ghost-issues","scratchpad",true,false,6,5,1,6,2,12450,1795,2501,0,2,48782,0.001465
"glm","z-ai/glm-4.7-flash","reconcile-ghost-issues","lisp",true,false,3,2,1,4,2,7535,915,3278,0,2,17490,0.000818
"glm","z-ai/glm-4.7-flash","reconcile-ghost-issues","both",false,false,3,2,0,2,2,6419,709,2361,0,4,37657,0.000669
"glm","z-ai/glm-4.7-flash","repo-health-report","baseline",false,false,2,2,0,2,1,12606,1281,9606,0,32,68622,0.001269
"glm","z-ai/glm-4.7-flash","repo-health-report","scratchpad",true,false,3,2,0,1,1,5651,590,2096,0,2,20951,0.000575
"glm","z-ai/glm-4.7-flash","repo-health-report","lisp",false,false,4,3,1,2,1,10057,1364,3132,0,2,30443,0.001149
"glm","z-ai/glm-4.7-flash","repo-health-report","both",false,false,1,0,0,0,0,1932,212,1932,0,4,4732,0.000201
