modelKey,model,scenario,arm,ok,errored,turns,toolCalls,toolErrors,mcpRoundTrips,servicesTouched,tokensIn,tokensOut,peakContextTokens,compactions,toolsInContext,wallMs,costUsd
"kimi27","moonshotai/kimi-k2.7-code","count-open-prs","baseline",false,false,2,1,0,1,1,5979,82,4716,0,32,4447,0.004711
"kimi27","moonshotai/kimi-k2.7-code","count-open-prs","scratchpad",true,false,2,1,0,1,1,2928,96,1515,0,2,3097,0.002503
"kimi27","moonshotai/kimi-k2.7-code","sentry-billing-unresolved","baseline",true,false,2,1,0,1,1,3217,171,1952,0,32,4989,0.002979
"kimi27","moonshotai/kimi-k2.7-code","sentry-billing-unresolved","scratchpad",true,false,3,2,0,1,1,4754,214,1750,0,2,6846,0.004267
"kimi27","moonshotai/kimi-k2.7-code","merged-prs-open-linear","baseline",true,false,3,15,0,15,2,11347,802,5841,0,32,13838,0.011204
"kimi27","moonshotai/kimi-k2.7-code","merged-prs-open-linear","scratchpad",true,false,3,2,0,2,2,5326,463,2164,0,2,9552,0.005562
"kimi27","moonshotai/kimi-k2.7-code","busiest-assignee","baseline",true,false,2,1,0,1,1,3802,296,2529,0,32,6414,0.003849
"kimi27","moonshotai/kimi-k2.7-code","busiest-assignee","scratchpad",true,false,3,2,0,1,1,4738,150,1721,0,2,5043,0.004031
"kimi27","moonshotai/kimi-k2.7-code","high-urgency-triggered","baseline",true,false,2,1,0,1,1,2814,175,1545,0,32,4370,0.002695
"kimi27","moonshotai/kimi-k2.7-code","high-urgency-triggered","scratchpad",true,false,2,1,0,1,1,2968,142,1549,0,2,3723,0.002693
"kimi27","moonshotai/kimi-k2.7-code","email-top-error","baseline",false,false,3,2,0,2,2,10130,779,4466,0,32,15160,0.010223
"kimi27","moonshotai/kimi-k2.7-code","email-top-error","scratchpad",true,false,4,3,0,2,2,6654,286,1867,0,2,7869,0.005925
"kimi27","moonshotai/kimi-k2.7-code","compose-verify-issues","baseline",true,false,3,16,0,16,1,11568,1757,6006,0,32,33748,0.014710
"kimi27","moonshotai/kimi-k2.7-code","compose-verify-issues","scratchpad",true,false,4,4,0,17,1,7205,372,2034,0,2,11029,0.006634
"glm5","z-ai/glm-5","count-open-prs","baseline",false,false,2,1,0,1,1,9741,396,6646,0,32,4433,0.006605
"glm5","z-ai/glm-5","count-open-prs","scratchpad",true,false,2,1,0,1,1,3319,117,1699,0,2,4686,0.002216
"glm5","z-ai/glm-5","sentry-billing-unresolved","baseline",true,false,2,1,0,1,1,6879,257,3781,0,32,4424,0.004621
"glm5","z-ai/glm-5","sentry-billing-unresolved","scratchpad",true,false,3,2,0,1,1,5439,411,2008,0,2,7102,0.004053
"glm5","z-ai/glm-5","merged-prs-open-linear","baseline",false,false,3,15,0,15,2,16808,1304,7557,0,32,12206,0.012588
"glm5","z-ai/glm-5","merged-prs-open-linear","scratchpad",true,false,6,6,1,8,2,12263,631,2505,0,2,15436,0.008569
"glm5","z-ai/glm-5","busiest-assignee","baseline",true,false,2,1,0,1,1,7452,257,4346,0,32,5179,0.004965
"glm5","z-ai/glm-5","busiest-assignee","scratchpad",true,false,2,1,0,1,1,3385,298,1754,0,2,6374,0.002603
"glm5","z-ai/glm-5","high-urgency-triggered","baseline",true,false,2,1,0,1,1,6463,215,3361,0,32,3971,0.004291
"glm5","z-ai/glm-5","high-urgency-triggered","scratchpad",true,false,3,2,0,1,1,5250,278,1871,0,2,6605,0.003684
"glm5","z-ai/glm-5","email-top-error","baseline",false,false,3,2,0,2,2,15687,283,6318,0,32,6229,0.009956
"glm5","z-ai/glm-5","email-top-error","scratchpad",true,false,3,3,0,2,2,5664,565,2060,0,2,10190,0.004483
"glm5","z-ai/glm-5","compose-verify-issues","baseline",true,false,3,16,0,16,1,16734,1590,7429,0,32,19312,0.013093
"glm5","z-ai/glm-5","compose-verify-issues","scratchpad",true,false,4,4,0,17,1,8988,735,2720,0,2,10798,0.006804
"minimax3","minimax/minimax-m3","count-open-prs","baseline",true,false,2,1,0,1,1,9674,467,6609,0,32,11326,0.003463
"minimax3","minimax/minimax-m3","count-open-prs","scratchpad",true,false,2,1,0,1,1,3802,77,1958,0,2,3805,0.001233
"minimax3","minimax/minimax-m3","sentry-billing-unresolved","baseline",true,false,2,1,0,1,1,6852,247,3784,0,32,4016,0.002352
"minimax3","minimax/minimax-m3","sentry-billing-unresolved","scratchpad",true,false,3,2,0,1,1,6096,207,2210,0,2,5386,0.002077
"minimax3","minimax/minimax-m3","merged-prs-open-linear","baseline",true,false,2,2,0,2,2,18864,1315,15787,0,32,16683,0.007237
"minimax3","minimax/minimax-m3","merged-prs-open-linear","scratchpad",true,false,2,1,0,2,2,4035,368,2179,0,2,6780,0.001652
"minimax3","minimax/minimax-m3","busiest-assignee","baseline",true,false,2,1,0,1,1,7410,292,4335,0,32,8462,0.002573
"minimax3","minimax/minimax-m3","busiest-assignee","scratchpad",true,false,3,2,0,1,1,6069,263,2174,0,2,5186,0.002136
"minimax3","minimax/minimax-m3","high-urgency-triggered","baseline",true,false,2,1,0,1,1,6428,269,3356,0,32,5047,0.002251
"minimax3","minimax/minimax-m3","high-urgency-triggered","scratchpad",true,false,2,1,0,1,1,3843,143,1992,0,2,3564,0.001324
"minimax3","minimax/minimax-m3","email-top-error","baseline",true,false,3,2,0,2,2,15790,710,6423,0,32,11249,0.005589
"minimax3","minimax/minimax-m3","email-top-error","scratchpad",true,false,4,3,1,4,2,8323,618,2291,0,2,12458,0.003239
"minimax3","minimax/minimax-m3","compose-verify-issues","baseline",true,false,3,18,0,18,2,20321,2205,9393,0,32,21152,0.008742
"minimax3","minimax/minimax-m3","compose-verify-issues","scratchpad",true,false,7,6,2,19,1,17040,958,2865,0,2,18107,0.006262
"dsflash","deepseek/deepseek-v4-flash","count-open-prs","baseline",true,false,2,1,0,1,1,9525,339,6586,0,32,10660,0.000918
"dsflash","deepseek/deepseek-v4-flash","count-open-prs","scratchpad",true,false,2,1,0,1,1,3725,130,1929,0,2,8149,0.000359
"dsflash","deepseek/deepseek-v4-flash","sentry-billing-unresolved","baseline",true,false,2,1,0,1,1,6673,317,3729,0,32,7095,0.000658
"dsflash","deepseek/deepseek-v4-flash","sentry-billing-unresolved","scratchpad",true,false,3,2,0,1,1,6044,342,2229,0,2,10143,0.000606
"dsflash","deepseek/deepseek-v4-flash","merged-prs-open-linear","baseline",true,false,3,15,0,15,2,17097,2020,8058,0,32,20503,0.001902
"dsflash","deepseek/deepseek-v4-flash","merged-prs-open-linear","scratchpad",true,false,3,3,0,2,2,7243,1115,3191,0,2,18915,0.000853
"dsflash","deepseek/deepseek-v4-flash","busiest-assignee","baseline",true,false,2,1,0,1,1,7151,375,4264,0,32,8840,0.000711
"dsflash","deepseek/deepseek-v4-flash","busiest-assignee","scratchpad",true,false,3,2,0,1,1,6072,236,2249,0,2,12607,0.000589
"dsflash","deepseek/deepseek-v4-flash","high-urgency-triggered","baseline",true,false,2,1,0,1,1,6204,227,3258,0,32,9030,0.000599
"dsflash","deepseek/deepseek-v4-flash","high-urgency-triggered","scratchpad",true,false,2,1,0,1,1,3772,181,1970,0,2,6492,0.000372
"dsflash","deepseek/deepseek-v4-flash","email-top-error","baseline",true,false,3,2,0,2,2,15832,621,6490,0,32,13402,0.001537
"dsflash","deepseek/deepseek-v4-flash","email-top-error","scratchpad",true,false,5,4,0,2,2,11037,932,2559,0,2,25818,0.001161
"dsflash","deepseek/deepseek-v4-flash","compose-verify-issues","baseline",true,false,3,20,0,20,1,18311,3175,9016,0,32,42138,0.002219
"dsflash","deepseek/deepseek-v4-flash","compose-verify-issues","scratchpad",true,false,5,5,0,18,1,13529,1429,3314,0,2,20711,0.001475
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","count-open-prs","baseline",false,false,2,1,0,1,1,10386,24,7268,0,32,7514,0.000524
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","count-open-prs","scratchpad",true,false,2,1,0,1,1,3341,33,1719,0,2,3393,0.000173
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","sentry-billing-unresolved","baseline",false,false,2,1,0,1,1,7098,117,3977,0,32,26262,0.000377
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","sentry-billing-unresolved","scratchpad",true,false,3,2,0,1,1,5254,150,1901,0,2,6501,0.000291
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","merged-prs-open-linear","baseline",false,false,8,7,0,7,2,29376,320,4569,0,32,33842,0.001530
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","merged-prs-open-linear","scratchpad",true,false,3,2,0,2,2,5606,342,2176,0,2,29359,0.000345
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","busiest-assignee","baseline",true,false,2,1,0,1,1,7817,50,4688,0,32,16206,0.000400
