modelKey,model,scenario,arm,ok,errored,turns,toolCalls,toolErrors,mcpRoundTrips,servicesTouched,tokensIn,tokensOut,peakContextTokens,compactions,toolsInContext,wallMs,costUsd
"deepseek","deepseek/deepseek-v3.2","incident-commander","pyrepl",true,false,14,13,0,10,5,82181,1877,8282,0,1,97513,0.019463
"deepseek","deepseek/deepseek-v3.2","incident-commander","jsrepl",false,true,24,23,2,10,5,148068,2923,9028,1,1,150012,0.034910
"deepseek","deepseek/deepseek-v3.2","incident-commander","lispfns",true,false,13,12,0,9,5,55143,1433,5969,0,1,69922,0.013119
"deepseek","deepseek/deepseek-v3.2","heavy-pr-audit","pyrepl",true,false,19,17,3,2,1,112935,2805,9239,1,1,123236,0.026824
"deepseek","deepseek/deepseek-v3.2","heavy-pr-audit","jsrepl",true,false,8,7,1,4,1,36042,1934,6391,0,1,59777,0.008917
"deepseek","deepseek/deepseek-v3.2","heavy-pr-audit","lispfns",true,false,12,11,0,1,1,47643,1125,5138,0,1,56242,0.011296
"deepseek","deepseek/deepseek-v3.2","needle-sweep","pyrepl",false,false,13,12,0,10,3,66284,1574,7014,0,1,72577,0.015719
"deepseek","deepseek/deepseek-v3.2","needle-sweep","jsrepl",false,false,8,7,1,6,3,33048,1415,5664,0,1,50200,0.008053
"deepseek","deepseek/deepseek-v3.2","needle-sweep","lispfns",false,false,10,9,2,10,3,37286,1515,5426,0,1,50332,0.009058
"glm5","z-ai/glm-5","incident-commander","pyrepl",true,false,4,12,0,9,5,19960,1323,6410,0,1,31570,0.014516
"glm5","z-ai/glm-5","incident-commander","jsrepl",true,false,4,11,0,9,5,19719,1315,6350,0,1,31869,0.014356
"glm5","z-ai/glm-5","incident-commander","lispfns",true,false,4,9,0,9,5,14753,1281,4652,0,1,23863,0.011311
"glm5","z-ai/glm-5","heavy-pr-audit","pyrepl",true,false,6,8,1,3,2,23069,1028,4654,0,1,30273,0.015815
"glm5","z-ai/glm-5","heavy-pr-audit","jsrepl",true,false,4,5,0,2,1,13485,730,4053,0,1,19291,0.009493
"glm5","z-ai/glm-5","heavy-pr-audit","lispfns",true,false,4,4,0,2,1,10656,694,3187,0,1,25212,0.007726
"glm5","z-ai/glm-5","needle-sweep","pyrepl",true,false,6,9,0,6,3,29079,1299,6113,0,1,34920,0.019941
"glm5","z-ai/glm-5","needle-sweep","jsrepl",true,false,4,7,0,6,3,16886,1272,5503,0,1,33240,0.012574
"glm5","z-ai/glm-5","needle-sweep","lispfns",true,false,6,9,2,12,3,22267,1475,4753,0,1,34394,0.016192
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-commander","pyrepl",false,false,24,22,15,6,5,99197,1479,7350,1,1,49543,0.005241
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-commander","jsrepl",true,false,13,12,5,10,5,45960,862,4351,0,1,25540,0.002462
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-commander","lispfns",false,false,17,20,7,40,5,86044,2098,7048,0,1,48290,0.004701
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","heavy-pr-audit","pyrepl",false,false,10,9,4,5,2,41172,1586,5621,0,1,32063,0.002360
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","heavy-pr-audit","jsrepl",true,false,22,20,15,3,1,101970,3771,7394,1,1,83807,0.005815
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","heavy-pr-audit","lispfns",true,false,7,6,0,3,2,20406,375,3754,0,1,9299,0.001092
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","needle-sweep","pyrepl",false,false,7,6,0,5,3,28460,370,5438,0,1,8397,0.001493
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","needle-sweep","jsrepl",false,false,25,24,14,5,3,119229,3720,7665,1,1,109339,0.006668
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","needle-sweep","lispfns",false,false,10,9,4,0,0,26121,286,3382,0,1,9558,0.001360
"xiaomi","xiaomi/mimo-v2.5","incident-commander","pyrepl",true,false,5,9,0,8,5,28268,1588,7414,0,1,28329,0.003413
"xiaomi","xiaomi/mimo-v2.5","incident-commander","jsrepl",true,false,13,12,0,8,5,84138,1716,9435,0,1,62931,0.009315
"xiaomi","xiaomi/mimo-v2.5","incident-commander","lispfns",true,false,6,9,1,8,5,26186,1629,5579,0,1,33046,0.003206
"xiaomi","xiaomi/mimo-v2.5","heavy-pr-audit","pyrepl",true,false,7,6,1,2,1,37405,1583,7086,0,1,31183,0.004371
"xiaomi","xiaomi/mimo-v2.5","heavy-pr-audit","jsrepl",true,false,6,5,0,2,1,22873,1286,4797,0,1,29863,0.002762
"xiaomi","xiaomi/mimo-v2.5","heavy-pr-audit","lispfns",true,false,5,5,0,2,1,16331,581,3980,0,1,17304,0.001877
"xiaomi","xiaomi/mimo-v2.5","needle-sweep","pyrepl",true,false,4,5,0,6,3,17819,887,5938,0,1,21791,0.002119
"xiaomi","xiaomi/mimo-v2.5","needle-sweep","jsrepl",true,false,5,4,0,7,3,23406,1103,5970,0,1,22429,0.002766
"xiaomi","xiaomi/mimo-v2.5","needle-sweep","lispfns",true,false,6,9,1,3,3,21696,1370,4689,0,1,34048,0.002662
